2023-10-03 20:11:44 INFO     root city_data Extracting html data from Zakopane, Poland page 14
2023-10-03 20:11:46 INFO     root city_data Extracting html data from Zakopane, Poland page 15
2023-10-03 20:11:57 WARNING  root city_data Last page reached for Zakopane, Poland.
2023-10-03 20:12:00 INFO     root city_data Extracting html data from Gliwice, Poland page 1
2023-10-03 20:12:02 INFO     root city_data Extracting html data from Gliwice, Poland page 2
2023-10-03 20:12:05 INFO     root city_data Extracting html data from Gliwice, Poland page 3
2023-10-03 20:12:07 INFO     root city_data Extracting html data from Gliwice, Poland page 4
2023-10-03 20:12:09 INFO     root city_data Extracting html data from Gliwice, Poland page 5
2023-10-03 20:12:11 INFO     root city_data Extracting html data from Gliwice, Poland page 6
2023-10-03 20:12:12 INFO     root city_data Extracting html data from Gliwice, Poland page 7
2023-10-03 20:12:14 INFO     root city_data Extracting html data from Gliwice, Poland page 8
2023-10-03 20:12:16 INFO     root city_data Extracting html data from Gliwice, Poland page 9
2023-10-03 20:12:18 INFO     root city_data Extracting html data from Gliwice, Poland page 10
2023-10-03 20:12:20 INFO     root city_data Extracting html data from Gliwice, Poland page 11
2023-10-03 20:12:21 INFO     root city_data Extracting html data from Gliwice, Poland page 12
2023-10-03 20:12:24 INFO     root city_data Extracting html data from Gliwice, Poland page 13
2023-10-03 20:12:26 INFO     root city_data Extracting html data from Gliwice, Poland page 14
2023-10-03 20:12:27 INFO     root city_data Extracting html data from Gliwice, Poland page 15
2023-10-03 20:12:38 WARNING  root city_data Last page reached for Gliwice, Poland.
2023-10-03 20:12:41 INFO     root city_data Extracting html data from Torun, Poland page 1
2023-10-03 20:12:43 INFO     root city_data Extracting html data from Torun, Poland page 2
2023-10-03 20:12:45 INFO     root city_data Extracting html data from Torun, Poland page 3
2023-10-03 20:12:47 INFO     root city_data Extracting html data from Torun, Poland page 4
2023-10-03 20:12:48 INFO     root city_data Extracting html data from Torun, Poland page 5
2023-10-03 20:12:50 INFO     root city_data Extracting html data from Torun, Poland page 6
2023-10-03 20:12:52 INFO     root city_data Extracting html data from Torun, Poland page 7
2023-10-03 20:12:54 INFO     root city_data Extracting html data from Torun, Poland page 8
2023-10-03 20:12:56 INFO     root city_data Extracting html data from Torun, Poland page 9
2023-10-03 20:12:58 INFO     root city_data Extracting html data from Torun, Poland page 10
2023-10-03 20:13:00 INFO     root city_data Extracting html data from Torun, Poland page 11
2023-10-03 20:13:02 INFO     root city_data Extracting html data from Torun, Poland page 12
2023-10-03 20:13:04 INFO     root city_data Extracting html data from Torun, Poland page 13
2023-10-03 20:13:06 INFO     root city_data Extracting html data from Torun, Poland page 14
2023-10-03 20:13:08 INFO     root city_data Extracting html data from Torun, Poland page 15
2023-10-03 20:13:19 WARNING  root city_data Last page reached for Torun, Poland.
2023-10-03 20:13:21 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 1
2023-10-03 20:13:23 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 2
2023-10-03 20:13:28 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 3
2023-10-03 20:13:30 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 4
2023-10-03 20:13:31 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 5
2023-10-03 20:13:33 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 6
2023-10-03 20:13:35 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 7
2023-10-03 20:13:37 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 8
2023-10-03 20:13:39 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 9
2023-10-03 20:13:41 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 10
2023-10-03 20:13:43 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 11
2023-10-03 20:13:45 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 12
2023-10-03 20:13:47 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 13
2023-10-03 20:13:49 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 14
2023-10-03 20:13:51 INFO     root city_data Extracting html data from Biesko-Biala, Poland page 15
2023-10-03 20:14:02 WARNING  root city_data Last page reached for Biesko-Biala, Poland.
2023-10-03 20:14:04 INFO     root city_data Extracting html data from Gdynia, Poland page 1
2023-10-03 20:14:07 INFO     root city_data Extracting html data from Gdynia, Poland page 2
2023-10-03 20:14:09 INFO     root city_data Extracting html data from Gdynia, Poland page 3
