city,date,title,subtitle,price_per_night (zl),original_price (zl),availability,total_price (zl),beds,star,number_of_ratings
"Warsaw, Poland",2023-08-19,Apartment in Wola,Wola Artistic Designer Apartment,339,339,Aug 19 - 24,"1,691",2 beds,4.63,19
"Warsaw, Poland",2023-08-19,Loft in Praga Polnoc,Studio Loft for Work and Travel close to center,225,247,Aug 21 - 26,"1,123",1 double bed,4.82,147
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,"Old Town, Miodowa 23",290,408,Aug 19 - 24,"1,447",2 beds,4.77,200
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Sweet_Life Apartment next to metro station,291,349,Aug 21 - 26,"1,454",1 sofa bed,4.93,92
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,'Grzybowska' Fryderyk Apartment,212,257,Aug 27 - Sep 1,"1,056",1 bed,4.48,82
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,"Quiet, modern, comfortable at Galeria Mokotow",263,263,Aug 20 - 25,"1,313",1 double bed,4.78,100
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,w 136,365,528,Aug 20 - 25,"1,825",3 beds,5.0,12
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,Solec Vistula Studio,240,240,Aug 27 - Sep 1,"1,199",1 sofa bed,5.0,3
"Warsaw, Poland",2023-08-19,Room in Warszawa,Tropical Room In Room,159,159,Aug 30 - Sep 4,792,1 sofa bed,4.97,118
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,"Penthouse Bliska Wola Towers, City View, parking.",587,587,Aug 27 - Sep 1,"2,934",3 beds,5.0,16
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,"Perfect location, cozy flat",239,296,Aug 27 - Sep 1,"1,194",2 beds,5.0,11
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,Praga Wrzesinska Studio,226,264,Aug 19 - 24,"1,130",1 bed,4.92,39
"Warsaw, Poland",2023-08-19,Guest suite in Warszawa,Apartment4you Kolejowa 1-bedroom,466,791,Aug 20 - 25,"2,330",1 double bed,4.77,245
